Country;Amount20102017
Luxembourg;59860!58817!58486!58813!59928!61975!62091!63062
Switzerland;60400!60503!61567!62516!62616!62495!62370!62283
Iceland;44558!46774!46953!47910!48234!51759!56094!61787
United States;58054!58200!58669!58412!59250!60692!60686!60558
Netherlands;53023!52668!52781!52808!52602!53171!53295!52877
Denmark;49424!49148!40024!49424!50369!51126!51826!51466
Norway;47310!48897!50227!51236!51415!51663!50825!51212
Austria;49316!48809!49047!49120!49299!49965!50330!50349
Belgium;48941!49382!49715!50363!50583!50249!50041!49675
Australia;48112!49622!49901!49649!49989!49563!49603!49126
Ireland;51860!47806!46905!45735!45828!46561!46932!47653
Canada;44336!45016!46059!46937!47453!47673!47370!47622
Germany;42970!43703!44202!44736!45421!46409!47097!47585
France;41548!41472!41759!41986!42403!42731!43221!43755
United Kingdom;44521!43370!43105!43154!42782!43152!43713!43732
Finland;42725!42872!42902!42441!42425!42885!43139!42964
Sweden;38601!39085!39949!40366!40778!41467!42154!42393
Japan;40667!41567!40839!40791!40049!40004!40681!40863
New Zealand;37319!37319!38106!37614!37910!38473!39674!40043
Spain;40018!39451!38328!38416!38422!39339!39196!38507
Italy;37987!37394!36267!36324!36461!36770!37033!36658
South Korea;32501!32816!32416!33033!32840!33424!34555!35191
Israel;31017!31264!31748!32022!32016!33019!34072!35067
Slovenia;27596!28176!29572!30689!31678!32368!32856!34933
Poland;23608!23610!23402!23669!24151!24680!25879!27046
Greece;31194!29149!27826!26026!26532!26336!26330!26064
Chile;24078!24220!24980!25651!25958!25748!26219!25879
Czech Republic;22388!22541!22528!22290!22257!23381!24331!25373
Portugal;26927!26287!25151!25668!25217!25164!25362!25367
Estonia;20561!19715!20532!20824!21971!22840!23935!24336
Slovakia;22055!21859!21618!21782!22204!23026!23801!24328
Lithuania;17530!18345!18854!19608!20393!21417!22562!24287
Latvia;17601!16988!17699!18546!19783!21587!22726!23683
Hungary;21323!21309!20568!20613!20470!19929!20825!22576
Mexico;15321!15458!15193!15196!15172!15481!15407!15314
