Country,Drug,Measure Names,Specifics,Unit,Year,Measure Values
Afghanistan,Hashish (resin),To, ,Gram,2013,0.219999999
Afghanistan,Hashish (resin),From, ,Gram,2013,0.172999993
Afghanistan,Hashish (resin),Typical, ,Gram,2013,0.189999998
Afghanistan,Heroin,To, ,Gram,2012,
Afghanistan,Heroin,From, ,Gram,2012,
Afghanistan,Heroin,Typical, ,Gram,2012,6.400000095
Afghanistan,Heroin,To, ,Gram,2013,5.800000191
Afghanistan,Heroin,From, ,Gram,2013,4.599999905
Afghanistan,Heroin,Typical, ,Gram,2013,5.287000179
Afghanistan,Heroin,To, ,Gram,2014,5.538000107
Afghanistan,Heroin,From, ,Gram,2014,4.710000038
Afghanistan,Heroin,Typical, ,Gram,2014,5.159999847
Afghanistan,Heroin,To, ,Gram,2015,
Afghanistan,Heroin,From, ,Gram,2015,
Afghanistan,Heroin,Typical, ,Gram,2015,4.900000095
Afghanistan,Marijuana (herb),To, ,Gram,2015,
Afghanistan,Marijuana (herb),From, ,Gram,2015,
Afghanistan,Marijuana (herb),Typical, ,Gram,2015,1.130031710
Afghanistan,Opium,To, ,Gram,2013,4.300000191
Afghanistan,Opium,From, ,Gram,2013,0.300000012
Afghanistan,Opium,Typical, ,Gram,2013,0.360000014
Albania,Cocaine salts,To, ,Gram,2012,128.534704843
Albania,Cocaine salts,From, ,Gram,2012,64.267352421
Albania,Cocaine salts,Typical, ,Gram,2012,77.120822906
Albania,Cocaine salts,To, ,Gram,2014,133.155794560
Albania,Cocaine salts,From, ,Gram,2014,66.577897280
Albania,Cocaine salts,Typical, ,Gram,2014,79.893476736
Albania,Cocaine salts,To, ,Gram,2015,99.778269402
Albania,Cocaine salts,From, ,Gram,2015,66.518846268
Albania,Cocaine salts,Typical, ,Gram,2015,
Albania,Cocaine salts,To, ,Gram,2016,99.667774402
Albania,Cocaine salts,From, ,Gram,2016,66.445182935
Albania,Cocaine salts,Typical, ,Gram,2016,77.519380091
Albania,Heroin,To, ,Gram,2015,27.716185945
Albania,Heroin,From, ,Gram,2015,23.281596194
Albania,Heroin,Typical, ,Gram,2015,
Albania,Heroin,To,Brown,Gram,2012,32.133676211
Albania,Heroin,From,Brown,Gram,2012,26.992288017
Albania,Heroin,Typical,Brown,Gram,2012,28.277635065
Albania,Heroin,To,Brown,Gram,2014,33.288948640
Albania,Heroin,From,Brown,Gram,2014,27.962716858
Albania,Heroin,Typical,Brown,Gram,2014,29.294274803
Albania,Heroin,To,Brown,Gram,2016,27.685492889
Albania,Heroin,From,Brown,Gram,2016,16.611295734
Albania,Heroin,Typical,Brown,Gram,2016,24.363233743
Albania,Marijuana (herb),To, ,Gram,2012,2.056555308
Albania,Marijuana (herb),From, ,Gram,2012,1.285347048
Albania,Marijuana (herb),Typical, ,Gram,2012,1.542416519
Albania,Marijuana (herb),To, ,Gram,2014,6.657789728
Albania,Marijuana (herb),From, ,Gram,2014,3.994673837
Albania,Marijuana (herb),Typical, ,Gram,2014,
Albania,Marijuana (herb),To, ,Gram,2015,5.543237189
Albania,Marijuana (herb),From, ,Gram,2015,3.325942313
Albania,Marijuana (herb),Typical, ,Gram,2015,
Albania,Marijuana (herb),To, ,Gram,2016,5.537098578
Albania,Marijuana (herb),From, ,Gram,2016,3.322259147
Albania,Marijuana (herb),Typical, ,Gram,2016,3.322259147
Algeria,Cocaine salts,To, ,Dose,2012,155.466601246
Algeria,Cocaine salts,From, ,Dose,2012,129.555501038
Algeria,Cocaine salts,Typical, ,Dose,2012,142.511051142
Algeria,Cocaine salts,To, ,Gram,2013,151.285930991
Algeria,Cocaine salts,From, ,Gram,2013,126.071609159
Algeria,Cocaine salts,Typical, ,Gram,2013,138.678770075
Algeria,Cocaine salts,To, ,Gram,2015,152.003406098
Algeria,Cocaine salts,From, ,Gram,2015,101.335604066
Algeria,Cocaine salts,Typical, ,Gram,2015,126.669505082
