Country;Year;AgeRange;Income
AU;2014;Ag1;2483.668
AU;2014;Ag2;4894.1288
AU;2014;Ag3;5762.2752
AU;2014;Ag4;5747.7992
AU;2014;Ag5;5318.0688
AU;2014;Ag6;4069.4104
CA;2012;Ag1;1288.081667
CA;2012;Ag2;3479.493333
CA;2012;Ag3;4566.835
CA;2012;Ag4;4817.76
CA;2012;Ag5;4173.719167
CA;2012;Ag6;3078.013333
GB;2012;Ag1;3024.174
GB;2012;Ag2;4812.664
GB;2012;Ag3;4828.923
GB;2012;Ag4;5219.139
GB;2012;Ag5;3942.8075
GB;2012;Ag6;2915.780667
IE;2012;Ag1;1574.5527
IE;2012;Ag2;3247.2018
IE;2012;Ag3;4062.61494
IE;2012;Ag4;4311.81144
IE;2012;Ag5;3718.51281
IE;2012;Ag6;3183.80832
NZ;2012;Ag1;1547.3952
NZ;2012;Ag2;2488.066
NZ;2012;Ag3;3096.4436
NZ;2012;Ag4;3218.7804
NZ;2012;Ag5;2787.2952
NZ;2012;Ag6;1851.584
US;2012;Ag1;1678
US;2012;Ag2;2852
US;2012;Ag3;3492
US;2012;Ag4;3508
US;2012;Ag5;3644
US;2012;Ag6;3080
